,ranking,name,year,genre,rating,summary,director,actor_1,actor_2,actor_3,actor_4,certificate
175,176,Wing Commander III: Heart of the Tiger,1994,"['Action', ' Adventure', ' Sci-Fi']",8.9,"When the Terran Confederation faces the possibility of humanity losing the war with the Kilrathi, Colonel Christopher Blair (Mark Hamill), who the Kilrathi have dubbed ""The Heart of the Tiger"", is summoned.",Chris Roberts,Mark Hamill,Malcolm McDowell,John Rhys-Davies,Jason Bernard,T
176,177,Hollow Knight,2017,"['Action', ' Adventure', ' Fantasy']",8.8,"This is the story of a knight, in a quest to uncover the secrets of the long-abandoned kingdom of the Hallownest insects, whose depths attract the adventurous and brave with the promise of treasure or the answer to ancient mysteries.",,,,,,E10+
177,178,Horizon Zero Dawn: The Frozen Wilds,2017,"['Action', ' Adventure', ' Mystery']",8.8,"Aloy's battle with the machines continues when she travels to The Cut, the home of the Banuk. There, she finds an AI that is being worshiped, and a mysterious 'Daemon' constantly attacking the Banuk.",Mathijs de Jonge,Ashly Burch,Richard Neil,Necar Zadegan,Gary Anthony Williams,T
178,179,Divinity: Original Sin II,2017,"['Action', ' Adventure', ' Fantasy']",8.8,"Set in a fantasy world where a form of energy known as Source, and individuals called Sourcerers can manipulate this energy, are hunting down an organization to protect their world from the evil Voidwokens who are drawn by that energy.",Swen Vincke,Rachel Atkins,Christopher Bonwell,Brian Bowles,Jay Britton,M
179,180,Danganronpa 2: Goodbye Despair,2012,"['Adventure', ' Mystery', ' Thriller']",8.8,"16 students from the famous Hope's Peak Academy are forced to live on an island, or kill each other in order to escape.",Minami Takayama,Megumi Ogata,Akira Ishida,Tomokazu Sugita,,M
180,181,Enderal: The Shards of Order,2016,"['Action', ' Adventure', ' Fantasy']",8.9,"2 years after the events of ""Nehrim"", the world of Vyn has fallen into chaos, prompting a Nehrimese refugee to travel to the isolated continent of Enderal to start over, unaware of the threatening, mysterious challenges he would soon face.",Nicolas Lietzau,Till Hagen,Andreas Wilde,Martin Sabel,Michelle Winter,
181,182,Halo: The Master Chief Collection,2014,"['Action', ' Adventure', ' Sci-Fi']",8.8,"Compilation of Master Chief's entire story. Featuring a re-mastered Halo 2: Anniversary, along with Halo: Anniversary, Halo 3, Halo 4, Halo Nightfall, and access to the Halo 5 Multiplayer Beta.",Adam Adcock,Chris Anderson,Cas Anvar,Dee Bradley Baker,,M
182,183,Inside,2016,"['Adventure', ' Horror', ' Mystery']",8.8,"Hunted and alone, a boy finds himself drawn into the center of a dark project.",Arnt Jensen,,,,,M
183,184,BioShock Infinite: Burial at Sea,2013,"['Action', ' Adventure', ' Mystery']",8.8,"1958. After the events of  (2013) and on the eve of the civil war that will destroy the underwater city, Elizabeth goes to Rapture to find Booker DeWitt and offers him her help to investigate the disappearance of an orphan girl.",Ken Levine,Troy Baker,Michael Navarra,Courtnee Draper,Kimberly Brooks,M
184,185,Fire Emblem: Awakening,2012,"['Action', ' Adventure', ' Fantasy']",8.9,"During a turbulent era, Chrom, the prince of Ylisse and descendant of the Hero-King Marth, leads The Shepherds in observing and combating the bizarre activities of the neighboring country Plegia.",Kouhei Maeda,Akemi Okamura,Tomokazu Sugita,Yû Kobayashi,Kana Asumi,T
185,186,Until Dawn,2015,"['Horror', ' Mystery', ' Thriller']",8.8,"A group of teenagers spend the weekend in a ski lodge on the anniversary of their friends' disappearance, unaware that they are not alone.",Will Byles,Hayden Panettiere,Peter Stormare,Rami Malek,Brett Dalton,M
186,187,Metal Gear Solid V: The Phantom Pain,2015,"['Action', ' Adventure', ' Drama']",8.8,"After awakening from a nine year coma, Big Boss forms a new mercenary group called, Diamond Dogs, and teams up with his former rival, Ocelot, to track down the men responsible for the destruction of MSF.",Hideo Kojima,Stefanie Joosten,Kiefer Sutherland,Robin Atkin Downes,Troy Baker,M
187,188,Tomb Raider,2013,"['Action', ' Adventure', ' Fantasy']",8.8,"Armed with only the raw instincts and physical ability, experience Lara Croft's intense origin story from a young woman to a hardened survivor.",Noah Hughes,Camilla Luddington,Robin Atkin Downes,Cooper Thornton,Robert Craighead,M
188,189,Fallout: New Vegas,2010,"['Action', ' Adventure', ' Sci-Fi']",8.8,"After surviving a bullet to the head, Courier Six traverses the post-apocalyptic Mojave desert in search of the men who wronged him, while making an impact on thousands in the process.",Josh Sawyer,Matthew Perry,Wayne Newton,Kris Kristofferson,Ron Perlman,M
189,190,Dead Space 2,2011,"['Action', ' Horror', ' Sci-Fi']",8.8,"Set three years after the events of the first, Isaac Clarke's fight against a new Necromorph outbreak on the Sprawl, a space station above Saturn's largest moon, Titan.",Gunner Wright,Tanya Clarke,Sonita Henry,Curt Cornelius,,M
190,191,Pokémon SoulSilver Version,2009,"['Action', ' Adventure', ' Family']",8.8,"Unravel mysteries as you journey through new places such as the Ruins of Alph, meet new people such as the Kimono girls of Ecruteak City, and battle Team Rocket as they make their comeback.",Shigeki Morimoto,,,,,E
191,192,Pokémon HeartGold Version,2009,"['Action', ' Adventure', ' Family']",8.8,"Unravel mysteries as you journey through new places such as the Ruins of Alph, meet new people such as the Kimono girls of Ecruteak City, and battle Team Rocket as they make their comeback.",Shigeki Morimoto,,,,,E
192,193,Heavy Rain,2010,"['Crime', ' Drama', ' Mystery']",8.8,"As a child goes missing, his father tirelessly works to rescue him, while a journalist, an FBI agent, and a private detective try to identify his kidnapper known only as the ""Origami Killer"".",David Cage,Pascal Langdale,Jacqui Ainsley,Judi Beecher,Sam Douglas,M
193,194,Demon's Souls,2020,"['Action', ' Adventure', ' Fantasy']",8.8,"A remake of the 2009 video game, by the same name,  (2009).",Hidetaka Miyazaki,Clare Corbett,Evetta Muradasilova,Ella Funnell-Dale,Peter Marinker,M
194,195,Call of Duty: Modern Warfare 2,2009,"['Action', ' Adventure', ' Thriller']",8.8,"A massacre at a Russian airport leads to a war between Russia and the United States. Meanwhile, a Task Force is sent to find the perpetrators and bring the bloodshed to an end.",Jason West,Lance Henriksen,Keith David,Barry Pepper,Kevin McKidd,M
195,196,Dead Space,2008,"['Action', ' Horror', ' Mystery']",8.8,"Engineer Isaac Clarke and his crew get stranded on a large, abandoned mining ship. There, Clarke needs to repair the giant ship while battling nasty aliens and solving the mystery of what happened to the ship.",Michael Condrey,Tonantzin Carmelo,J.G. Hertzler,Iyari Limon,Peter Mensah,M
196,197,Demon's Souls,2020,"['Action', ' Adventure', ' Fantasy']",8.8,"A remake of the 2009 video game, by the same name,  (2009).",Hidetaka Miyazaki,Clare Corbett,Evetta Muradasilova,Ella Funnell-Dale,Peter Marinker,M
197,198,Resident Evil Village,2021,"['Action', ' Adventure', ' Fantasy']",8.8,Ethan Winters' world suddenly comes crashing down when Chris Redfield's appearance sets off a chain of events that ultimately leads him to a mysterious village.,Morimasa Sato,Michelle Lukes,Todd Soley,Katie O'Hagan,Jeff Schine,M
198,199,World of Warcraft: Wrath of the Lich King,2008,"['Action', ' Adventure', ' Fantasy']",8.8,The Lich King Arthas has set in motion events that could lead to the extinction of all life on Azeroth. Only the mightiest heroes can oppose the Lich King's will and end his reign of terror for all time.,Jeffrey Kaplan,Dino Andrade,Laura Bailey,Adam Bitterman,JB Blanc,
