,ranking,name,year,runtime,genre,rating,summary,summary_length
127,128,Dune,2021.0,155 min,"['Action', 'Adventure', 'Drama']",8.2,Feature adaptation of Frank Herbert's science fiction novel about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.,186
128,129,Shutter Island,2010.0,138 min,"['Mystery', 'Thriller']",8.2,"In 1954, a U.S. Marshal investigates the disappearance of a murderer who escaped from a hospital for the criminally insane.",123
129,130,Up,2009.0,96 min,"['Animation', 'Adventure', 'Comedy']",8.2,"78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.",130
130,131,Miracle in Cell No. 7,2019.0,132 min,['Drama'],8.2,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six year old daughter. Prison will be their home. Based on the 2013 Korean movie  (2013).,184
131,132,The Wolf of Wall Street,2013.0,180 min,"['Biography', 'Comedy', 'Crime']",8.2,"Based on the true story of , from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.",157
132,133,My Father and My Son,2005.0,112 min,"['Drama', 'Family']",8.2,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,93
133,134,There Will Be Blood,2007.0,158 min,['Drama'],8.2,"A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",133
134,135,Pan's Labyrinth,2006.0,118 min,"['Drama', 'Fantasy', 'War']",8.2,"In the Falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",142
135,136,Toy Story 3,2010.0,103 min,"['Animation', 'Adventure', 'Comedy']",8.2,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",209
136,137,Batman Begins,2005.0,140 min,"['Action', 'Crime', 'Drama']",8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",105
137,138,Downfall,2004.0,156 min,"['Biography', 'Drama', 'History']",8.2,", the final secretary for , tells of the Nazi dictator's final days in his Berlin bunker at the end of WWII.",108
138,139,Howl's Moving Castle,2004.0,119 min,"['Animation', 'Adventure', 'Family']",8.2,"When an unconfident young woman is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.",220
139,140,A Beautiful Mind,2001.0,135 min,"['Biography', 'Drama']",8.2,"After , a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.",126
140,141,Snatch,2000.0,102 min,"['Comedy', 'Crime']",8.2,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.",177
141,142,"Lock, Stock and Two Smoking Barrels",1998.0,107 min,"['Action', 'Comedy', 'Crime']",8.2,"Eddy persuades his three pals to pool money for a vital poker game against a powerful local mobster, Hatchet Harry. Eddy loses, after which Harry gives him a week to pay back 500,000 pounds.",190
142,143,L.A. Confidential,1997.0,138 min,"['Crime', 'Drama', 'Mystery']",8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",171
143,144,The Bandit,1996.0,128 min,"['Crime', 'Drama', 'Thriller']",8.2,"Baran the Bandit, released from prison after 35 years, searches for vengeance and his lover.",92
144,145,Heat,1995.0,170 min,"['Action', 'Crime', 'Drama']",8.2,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a clue at their latest heist.,135
145,146,Casino,1995.0,178 min,"['Crime', 'Drama']",8.2,"A tale of greed, deception, money, power, and murder occur between two best friends: a mafia enforcer and a casino executive compete against each other over a gambling empire, and over a fast-living and fast-loving socialite.",225
146,147,Unforgiven,1992.0,130 min,"['Drama', 'Western']",8.2,"Retired Old West gunslinger William Munny reluctantly takes on one last job, with the help of his old partner Ned Logan and a young man, The ""Schofield Kid.""",157
147,148,Indiana Jones and the Last Crusade,1989.0,127 min,"['Action', 'Adventure']",8.2,"In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Professor Henry ""Indiana"" Jones, Jr. finds himself up against 's Nazis again to stop them from obtaining its powers.",213
148,149,My Neighbor Totoro,1988.0,86 min,"['Animation', 'Comedy', 'Family']",8.2,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.",137
149,150,Die Hard,1988.0,132 min,"['Action', 'Thriller']",8.2,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,155
150,151,Ran,1985.0,162 min,"['Action', 'Drama', 'War']",8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",213
151,152,Raging Bull,1980.0,129 min,"['Biography', 'Drama', 'Sport']",8.2,"The life of boxer , whose violence and temper that led him to the top in the ring destroyed his life outside of it.",115
152,153,Autumn Sonata,1978.0,99 min,"['Drama', 'Music']",8.2,"A devoted wife is visited by her mother, a successful concert pianist who had little time for her when she was young.",117
153,154,Taxi Driver,1976.0,114 min,"['Crime', 'Drama']",8.2,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",154
154,155,Monty Python and the Holy Grail,1975.0,91 min,"['Adventure', 'Comedy', 'Fantasy']",8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",146
155,156,Chinatown,1974.0,130 min,"['Drama', 'Mystery', 'Thriller']",8.2,"A private detective hired to expose an adulterer in 1930s Los Angeles finds himself caught up in a web of deceit, corruption, and murder.",137
156,157,Z,1969.0,127 min,"['Crime', 'Drama', 'History']",8.2,The public murder of a prominent politician and doctor amid a violent demonstration is covered up by military and government officials. A tenacious magistrate is determined not to let them get away with it.,206
157,158,For a Few Dollars More,1965.0,132 min,['Western'],8.2,Two bounty hunters with the same intentions team up to track down an escaped Mexican outlaw.,92
158,159,The Great Escape,1963.0,172 min,"['Adventure', 'Drama', 'History']",8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,114
159,160,To Kill a Mockingbird,1962.0,129 min,"['Crime', 'Drama']",8.2,"Atticus Finch, a widowed lawyer in Depression-era Alabama, defends a black man against an undeserved rape charge, and his children against prejudice.",149
160,161,Yojimbo,1961.0,110 min,"['Action', 'Drama', 'Thriller']",8.2,A crafty ronin comes to a town divided by two criminal gangs and decides to play them against each other to free the town.,122
161,162,Judgment at Nuremberg,1961.0,179 min,"['Drama', 'War']",8.2,"In 1948, an American court in occupied Germany tries four Nazis judged for war crimes.",86
162,163,Some Like It Hot,1959.0,121 min,"['Comedy', 'Music', 'Romance']",8.2,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",139
163,164,Wild Strawberries,1957.0,91 min,"['Drama', 'Romance']",8.2,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.",112
164,165,The Seventh Seal,1957.0,96 min,"['Drama', 'Fantasy', 'History']",8.2,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.",172
165,166,Dial M for Murder,1954.0,105 min,"['Crime', 'Thriller']",8.2,A former tennis player tries to arrange his wife's murder after learning of her affair.,87
166,167,Tokyo Story,1953.0,136 min,['Drama'],8.2,"An old couple visit their children and grandchildren in the city, but receive little attention.",95
167,168,Rashomon,1950.0,88 min,"['Crime', 'Drama', 'Mystery']",8.2,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter.",154
168,169,All About Eve,1950.0,138 min,['Drama'],8.2,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.,142
169,170,The Treasure of the Sierra Madre,1948.0,126 min,"['Adventure', 'Drama', 'Western']",8.2,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,152
170,171,To Be or Not to Be,1942.0,99 min,"['Comedy', 'Romance', 'War']",8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",130
171,172,The Gold Rush,1925.0,95 min,"['Adventure', 'Comedy', 'Drama']",8.2,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.",144
172,173,Sherlock Jr.,1924.0,45 min,"['Action', 'Comedy', 'Romance']",8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",161
173,174,"Three Billboards Outside Ebbing, Missouri",2017.0,115 min,"['Comedy', 'Crime', 'Drama']",8.1,A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,120
174,175,The Handmaiden,2016.0,145 min,"['Drama', 'Romance', 'Thriller']",8.1,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",110
175,176,Logan,2017.0,137 min,"['Action', 'Drama', 'Sci-Fi']",8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.",196
176,177,Room,,118 min,"['Drama', 'Thriller']",8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",169
177,178,Wild Tales,2014.0,122 min,"['Comedy', 'Drama', 'Thriller']",8.1,Six short stories that explore the extremities of human behavior involving people in distress.,94
178,179,The Grand Budapest Hotel,2014.0,99 min,"['Adventure', 'Comedy', 'Crime']",8.1,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.",177
179,180,Gone Girl,2014.0,149 min,"['Drama', 'Mystery', 'Thriller']",8.1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",169
180,181,Hacksaw Ridge,2016.0,139 min,"['Biography', 'Drama', 'History']",8.1,"World War II American Army Medic , who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",197
181,182,Inside Out,,95 min,"['Animation', 'Adventure', 'Comedy']",8.1,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",198
182,183,12 Years a Slave,2013.0,134 min,"['Biography', 'Drama', 'History']",8.1,"In the antebellum United States, , a free black man from upstate New York, is abducted and sold into slavery.",109
183,184,Rush,,123 min,"['Action', 'Biography', 'Drama']",8.1,The merciless 1970s rivalry between Formula One rivals  and .,61
184,185,Ford v Ferrari,2019.0,152 min,"['Action', 'Biography', 'Drama']",8.1,American car designer  and driver  battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 24 Hours of Le Mans in 1966.,194
185,186,Spotlight,,129 min,"['Biography', 'Crime', 'Drama']",8.1,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.",189
186,187,Prisoners,2013.0,153 min,"['Crime', 'Drama', 'Mystery']",8.1,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",152
